Actual,Predicted,error,ape
58,41.18799,16.81201171875,0.28986227101293105
71,78.1702,-7.170196533203125,0.1009886835662412
41,79.10624,-38.106239318847656,0.9294204711914062
50,57.926907,-7.926906585693359,0.1585381317138672
50,57.199177,-7.199176788330078,0.14398353576660156
33,84.14524,-51.145240783691406,1.549855781323982
125,41.407078,83.59292221069336,0.6687433776855469
33,39.044422,-6.044422149658203,0.1831643075654001
50,62.372585,-12.37258529663086,0.2474517059326172
100,84.62851,15.371490478515625,0.15371490478515626
42,74.04938,-32.04937744140625,0.7630804152715773
67,81.73941,-14.739410400390625,0.21999120000583022
34,55.242542,-21.242542266845703,0.6247806549072266
80,79.83186,0.1681365966796875,0.002101707458496094
101,72.10224,28.89775848388672,0.2861164206325418
34,79.484726,-45.48472595214844,1.3377860574161304
50,49.284164,0.7158355712890625,0.01431671142578125
83,58.455067,24.544933319091797,0.2957220881818289
34,49.41638,-15.4163818359375,0.45342299517463236
125,48.795036,76.20496368408203,0.6096397094726562
73,68.99718,4.0028228759765625,0.05483319008187072
50,49.43908,0.5609207153320312,0.011218414306640626
33,44.67255,-11.672550201416016,0.353713642467152
33,34.21675,-1.2167510986328125,0.03687124541311553
108,81.82904,26.17095947265625,0.2423236988208912
83,65.121704,17.8782958984375,0.21540115540286145
34,43.685905,-9.685905456542969,0.2848795722512638
50,44.12538,5.8746185302734375,0.11749237060546874
75,60.629684,14.370315551757812,0.19160420735677083
33,46.105377,-13.105377197265625,0.39713264234138257
42,47.308838,-5.308837890625,0.12640090215773808
58,78.49026,-20.490257263183594,0.3532802976410964
33,64.46051,-31.46051025390625,0.9533487955729166
83,92.90113,-9.901130676269531,0.11929073103939195
50,57.55848,-7.558479309082031,0.15116958618164061
75,69.300606,5.699394226074219,0.07599192301432292
120,48.52976,71.47024154663086,0.5955853462219238
67,48.709614,18.290386199951172,0.2729908388052414
50,49.59454,0.4054603576660156,0.008109207153320313
50,82.70522,-32.705223083496094,0.6541044616699219
50,40.09688,9.903118133544922,0.19806236267089844
125,57.110058,67.88994216918945,0.5431195373535156
45,49.35317,-4.353168487548828,0.09673707750108507
100,48.374504,51.62549591064453,0.5162549591064454
41,53.550297,-12.550296783447266,0.3061047995962748
50,37.84773,12.152271270751953,0.24304542541503907
83,45.937008,37.062992095947266,0.4465420734451478
42,72.90529,-30.905288696289062,0.7358402070545015
37,43.928276,-6.928276062011719,0.1872507043786951
50,50.328186,-0.32818603515625,0.006563720703125
33,50.96516,-17.965160369873047,0.544398799087062
50,68.81868,-18.818679809570312,0.37637359619140626
67,62.928616,4.071384429931641,0.060766931790024487
50,73.060585,-23.060585021972656,0.46121170043945314
41,40.598217,0.4017829895019531,0.009799585109803735
58,42.066124,15.933876037597656,0.27472200064823543
92,56.170868,35.829132080078125,0.38944708782693616
33,42.66375,-9.663749694824219,0.29284089984315814
50,55.940666,-5.940666198730469,0.11881332397460938
