,mode,opurp,travday,tripno,vocc,bridge1,bridge2,county,workcnty,business,occuptn,vehicle,hour,hour_sin,hour_cos,target,otime
59262,1,2,5,2,1,0,0,3,9999999,9,3,1,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
59268,1,3,5,4,1,0,0,3,9999999,6,4,4,13,-0.2588190451025208,-0.9659258262890683,4.060443010546419,1308
59270,1,8,5,6,2,0,0,3,9999999,6,4,1,19,-0.9659258262890684,0.2588190451025203,3.2188758248682006,1900
59279,1,8,5,4,1,0,0,3,9999999,9999999,9999999,2,20,-0.8660254037844386,0.5000000000000001,3.912023005428146,2000
59281,1,2,2,2,1,0,0,3,9999999,0,11,0,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1650
59283,1,4,2,4,1,0,0,3,9999999,0,11,1,20,-0.8660254037844386,0.5000000000000001,3.912023005428146,2066
59294,1,6,1,11,2,0,0,3,3,9,5,2,22,-0.5000000000000004,0.8660254037844384,4.189654742026425,2200
59303,2,6,1,9,2,0,0,3,9999999,9,2,2,22,-0.5000000000000004,0.8660254037844384,4.189654742026425,2200
59315,1,3,3,12,1,0,0,3,3,3,2,1,14,-0.4999999999999998,-0.8660254037844388,3.4965075614664802,1450
59323,1,2,3,5,3,0,0,3,9999999,4,11,1,17,-0.9659258262890683,-0.25881904510252063,3.9318256327243257,1750
59325,1,7,3,8,4,0,0,3,9999999,4,11,1,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2050
59330,1,2,3,6,1,0,0,3,9999999,4,11,2,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
59334,2,7,3,10,4,0,0,3,9999999,4,11,1,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2050
59337,2,11,3,3,3,0,0,3,9999999,9999999,9999999,1,17,-0.9659258262890683,-0.25881904510252063,3.9318256327243257,1750
59339,2,7,3,5,4,0,0,3,9999999,9999999,9999999,1,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2050
59342,2,11,3,3,3,0,0,3,9999999,9999999,9999999,1,17,-0.9659258262890683,-0.25881904510252063,3.9318256327243257,1750
59344,2,7,3,5,4,0,0,3,9999999,9999999,9999999,1,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2050
59349,1,10,5,7,4,0,0,3,9999999,9999999,9999999,1,14,-0.4999999999999998,-0.8660254037844388,4.418840607796598,1400
59353,1,14,5,12,2,0,0,3,9999999,9999999,9999999,1,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1850
59355,1,14,5,15,5,0,0,3,9999999,9999999,9999999,1,19,-0.9659258262890684,0.2588190451025203,4.762173934797756,1966
59365,2,10,5,3,4,0,0,3,9999999,9999999,9999999,1,14,-0.4999999999999998,-0.8660254037844388,4.418840607796598,1400
59369,1,11,2,2,1,0,0,3,9999999,3,3,2,11,0.258819045102521,-0.9659258262890682,3.4965075614664802,1125
59376,1,4,2,5,1,0,0,3,9999999,2,2,3,20,-0.8660254037844386,0.5000000000000001,3.5263605246161616,2016
59378,1,2,1,2,1,0,0,3,3,0,8,1,17,-0.9659258262890683,-0.25881904510252063,3.4965075614664802,1750
59382,1,11,1,2,1,0,0,3,9999999,9999999,9999999,1,20,-0.8660254037844386,0.5000000000000001,3.4965075614664802,2050
59390,1,5,5,8,1,0,0,3,9999999,4,4,1,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1725
59392,1,7,5,10,2,0,0,3,9999999,4,4,1,22,-0.5000000000000004,0.8660254037844384,3.912023005428146,2275
59394,1,4,3,2,1,0,0,3,9999999,9999999,9999999,1,9,0.7071067811865476,-0.7071067811865475,3.5263605246161616,966
59396,1,13,3,4,2,0,0,3,9999999,9999999,9999999,1,15,-0.7071067811865471,-0.7071067811865479,4.31748811353631,1525
